"","Project","Location","UTM_Zone","Easting","Northing","DateStart","DateLastWorking","CameraWorking","Month","Year"
"76","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-03-16,2016-04-11,"Yes",3,2016
"77","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-04-11,2016-05-11,"Yes",4,2016
"78","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-05-11,2016-06-13,"Yes",5,2016
"79","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-06-13,2016-08-08,"Yes",6,2016
"80","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-08-08,2016-09-12,"Yes",8,2016
"81","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-09-12,2016-10-11,"Yes",9,2016
"82","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-10-11,2016-11-16,"Yes",10,2016
"83","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-11-16,2016-12-13,"Yes",11,2016
"84","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2016-12-13,2017-01-03,"Yes",12,2016
"85","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-01-03,2017-02-13,"Yes",1,2017
"86","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-02-13,2017-03-14,"Yes",2,2017
"87","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-03-14,2017-03-14,"No",3,2017
"88","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-04-04,2017-05-08,"Yes",4,2017
"89","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-05-08,2017-06-13,"Yes",5,2017
"90","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-06-13,2017-07-10,"Yes",6,2017
"91","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-07-10,2017-08-14,"Yes",7,2017
"92","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-08-14,2017-09-11,"Yes",8,2017
"93","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-09-11,2017-10-11,"Yes",9,2017
"94","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-10-11,2017-11-14,"Yes",10,2017
"95","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-11-14,2017-12-11,"Yes",11,2017
"96","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2017-12-11,2018-01-08,"Yes",12,2017
"97","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-01-08,2018-02-12,"Yes",1,2018
"98","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-02-12,2018-03-12,"Yes",2,2018
"99","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-03-12,2018-04-09,"Yes",3,2018
"100","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-04-09,2018-05-18,"Yes",4,2018
"101","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-05-18,2018-06-12,"Yes",5,2018
"102","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-06-12,2018-07-11,"Yes",6,2018
"103","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-07-11,2018-08-16,"Yes",7,2018
"104","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-08-16,2018-09-07,"Yes",8,2018
"105","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-09-07,2018-10-10,"Yes",9,2018
"106","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-10-10,2018-11-15,"Yes",10,2018
"107","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-11-15,2018-12-10,"Yes",11,2018
"108","Wildlife Crossing Structures","Stewart North Jumpout","11","620823","5655741",2018-12-10,2019-01-07,"Yes",12,2018
"109","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2010-02-11,2010-03-10,"Yes",2,2010
"110","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2010-03-10,2011-11-07,"-1",3,2010
"111","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2011-11-07,2011-11-28,"Yes",11,2011
"112","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2011-11-28,2011-12-19,"Yes",11,2011
"113","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2011-12-19,2012-01-09,"Yes",12,2011
"114","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-01-09,2012-01-28,"Yes",1,2012
"115","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-01-28,2012-02-21,"Yes",1,2012
"116","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-02-21,2012-03-12,"Yes",2,2012
"117","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-03-12,2012-04-02,"Yes",3,2012
"118","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-04-02,2012-04-21,"Yes",4,2012
"119","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-04-21,2012-05-17,"Yes",4,2012
"120","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-05-17,2012-06-04,"Yes",5,2012
"121","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-06-04,2012-06-28,"Yes",6,2012
"122","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-06-28,2012-07-14,"Yes",6,2012
"123","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-07-14,2012-08-06,"Yes",7,2012
"124","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-08-06,2012-08-27,"Yes",8,2012
"125","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-08-27,2012-09-17,"Yes",8,2012
"126","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-09-17,2012-10-08,"Yes",9,2012
"127","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-10-08,2012-10-29,"Yes",10,2012
"128","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-10-29,2012-11-17,"Yes",10,2012
"129","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-11-17,2012-12-08,"Yes",11,2012
"130","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-12-08,2012-12-29,"Yes",12,2012
"131","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2012-12-29,2013-01-19,"Yes",12,2012
"132","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-01-19,2013-02-09,"Yes",1,2013
"133","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-02-09,2013-03-02,"Yes",2,2013
"134","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-03-02,2013-03-23,"Yes",3,2013
"135","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-03-23,2013-04-13,"Yes",3,2013
"136","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-04-13,2013-05-04,"Yes",4,2013
"137","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-05-04,2013-05-30,"Yes",5,2013
"138","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-05-30,2013-06-17,"Yes",5,2013
"139","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-06-17,2013-07-06,"Yes",6,2013
"140","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-07-06,2013-07-27,"Yes",7,2013
"141","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-07-27,2013-08-17,"Yes",7,2013
"142","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-08-17,2013-09-07,"Yes",8,2013
"143","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-09-07,2013-09-28,"Yes",9,2013
"144","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-09-28,2013-10-19,"Yes",9,2013
"145","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-10-19,2013-11-09,"Yes",10,2013
"146","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-11-09,2013-11-30,"Yes",11,2013
"147","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-11-30,2013-12-23,"Yes",11,2013
"148","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2013-12-23,2014-01-11,"No",12,2013
"149","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-01-11,2014-02-15,"Yes",1,2014
"150","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-02-15,2014-03-08,"Yes",2,2014
"151","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-03-08,2014-03-29,"Yes",3,2014
"152","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-03-29,2014-04-21,"Yes",3,2014
"153","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-04-21,2014-05-12,"Yes",4,2014
"154","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-05-12,2014-05-31,"Yes",5,2014
"155","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-05-31,2014-06-21,"Yes",5,2014
"156","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-06-21,2014-07-12,"Yes",6,2014
"157","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-07-12,2014-08-04,"Yes",7,2014
"158","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-08-04,2014-08-23,"Yes",8,2014
"159","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-08-23,2014-09-13,"Yes",8,2014
"160","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-09-13,2014-10-04,"Yes",9,2014
"161","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-10-04,2014-10-24,"Yes",10,2014
"162","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-10-24,2014-11-15,"Yes",10,2014
"163","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-11-15,2014-11-28,"No",11,2014
"164","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-12-06,2014-12-31,"Yes",12,2014
"165","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2014-12-31,2015-01-19,"Yes",12,2014
"166","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-01-19,2015-02-09,"Yes",1,2015
"167","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-02-09,2015-03-01,"Yes",2,2015
"168","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-03-01,2015-03-03,"Yes",3,2015
"169","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-03-23,2015-04-12,"Yes",3,2015
"170","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-04-12,2015-05-10,"Yes",4,2015
"171","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-05-10,2015-06-08,"Yes",5,2015
"172","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-06-08,2015-07-06,"Yes",6,2015
"173","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-07-06,2015-08-10,"Yes",7,2015
"174","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-08-10,2015-09-15,"Yes",8,2015
"175","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-09-15,2015-10-11,"Yes",9,2015
"176","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-10-11,2015-11-10,"Yes",10,2015
"177","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-11-10,2015-12-14,"Yes",11,2015
"178","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2015-12-14,2016-01-07,"Yes",12,2015
"179","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-01-07,2016-02-09,"Yes",1,2016
"180","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-02-09,2016-03-16,"Yes",2,2016
"181","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-03-16,2016-04-11,"Yes",3,2016
"182","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-04-11,2016-05-11,"Yes",4,2016
"183","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-05-11,2016-06-13,"Yes",5,2016
"184","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-06-13,2016-08-08,"Yes",6,2016
"185","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-08-08,2016-09-12,"Yes",8,2016
"186","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-09-12,2016-10-11,"Yes",9,2016
"187","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-10-11,2016-11-16,"Yes",10,2016
"188","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-11-16,2016-12-13,"Yes",11,2016
"189","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2016-12-13,2017-01-03,"Yes",12,2016
"190","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-01-03,2017-02-13,"Yes",1,2017
"191","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-02-13,2017-03-14,"Yes",2,2017
"192","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-03-14,2017-04-04,"Yes",3,2017
"193","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-05-25,2017-06-13,"Yes",5,2017
"194","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-06-13,2017-07-10,"Yes",6,2017
"195","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-07-10,2017-08-14,"Yes",7,2017
"196","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-08-14,2017-09-11,"Yes",8,2017
"197","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-09-11,2017-10-11,"Yes",9,2017
"198","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-10-11,2017-11-14,"Yes",10,2017
"199","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-11-14,2017-12-11,"Yes",11,2017
"200","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2017-12-11,2018-01-08,"Yes",12,2017
"201","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-01-08,2018-02-12,"Yes",1,2018
"202","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-02-12,2018-03-12,"Yes",2,2018
"203","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-03-12,2018-04-09,"Yes",3,2018
"204","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-04-09,2018-05-18,"Yes",4,2018
"205","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-05-18,2018-06-12,"Yes",5,2018
"206","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-06-12,2018-07-11,"Yes",6,2018
"207","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-07-11,2018-08-16,"Yes",7,2018
"208","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-08-16,2018-09-07,"Yes",8,2018
"209","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-09-07,2018-10-10,"Yes",9,2018
"210","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-10-10,2018-11-15,"Yes",10,2018
"211","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-11-15,2018-12-10,"Yes",11,2018
"212","Wildlife Crossing Structures","Deadmans Northwest Jumpout","11","622147","5655652",2018-12-10,2019-01-07,"Yes",12,2018
"213","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2008-09-24,2009-08-10,"Yes",9,2008
"214","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2010-02-04,2010-02-16,"Yes",2,2010
"215","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2010-02-16,2011-07-25,"-1",2,2010
"216","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-05-11,2011-06-13,"Yes",5,2011
"217","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-06-13,2011-07-04,"Yes",6,2011
"218","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-07-25,2011-08-14,"Yes",7,2011
"219","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-08-15,2011-09-05,"Yes",8,2011
"220","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-09-05,2011-09-26,"Yes",9,2011
"221","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-09-26,2011-10-17,"Yes",9,2011
"222","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-10-14,2011-11-07,"Yes",10,2011
"223","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-11-07,2011-11-28,"Yes",11,2011
"224","Wildlife Crossing Structures","Deadmans Northeast Jumpout","11","624099","5656330",2011-11-28,2011-12-22,"Yes",11,2011
